bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,fe_name,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,14,6,(6) agem^weekday + agem^year^month,2642643,-0.142917,0.0149817,1.4400000000000001e-21,-14.2917,-17.2281,-11.3553,***
-15_10,1,≤10 °C,≤10 °C,cold,14,7,(7) agem^year^month + date,2643528,-0.0234431,0.0173664,0.177,-2.34431,-5.74813,1.0595,
-15_10,1,≤10 °C,≤10 °C,cold,15,1,(1) agem + date,2761626,-0.057323,0.0218481,0.0087,-5.7323,-10.0145,-1.45008,***
-15_10,1,≤10 °C,≤10 °C,cold,15,2,(2) agem^yday + agem^year + date,2738859,-0.0506183,0.025641,0.0484,-5.06183,-10.0875,-0.0362017,**
-15_10,1,≤10 °C,≤10 °C,cold,15,3,(3) agem^week + state^year + weekday,2748411,-0.20547,0.0231364,6.64e-19,-20.547,-25.0817,-16.0123,***
-15_10,1,≤10 °C,≤10 °C,cold,15,4,(4) agem + state^year + yday + weekday,2761626,-0.120456,0.0158368,2.83e-14,-12.0456,-15.1496,-8.94157,***
-15_10,1,≤10 °C,≤10 °C,cold,15,5,(5) agem^year^month + weekday,2643528,-0.151731,0.0162224,8.510000000000001e-21,-15.1731,-18.3526,-11.9935,***
-15_10,1,≤10 °C,≤10 °C,cold,15,6,(6) agem^weekday + agem^year^month,2642643,-0.151367,0.0162807,1.44e-20,-15.1367,-18.3277,-11.9457,***
-15_10,1,≤10 °C,≤10 °C,cold,15,7,(7) agem^year^month + date,2643528,-0.0227908,0.0176777,0.197,-2.27908,-5.74392,1.18575,
-15_10,1,≤10 °C,≤10 °C,cold,16,1,(1) agem + date,2761626,-0.0506033,0.0226035,0.0252,-5.06033,-9.49061,-0.630054,**
-15_10,1,≤10 °C,≤10 °C,cold,16,2,(2) agem^yday + agem^year + date,2738859,-0.0442075,0.0263016,0.0928,-4.42075,-9.57586,0.734354,*
-15_10,1,≤10 °C,≤10 °C,cold,16,3,(3) agem^week + state^year + weekday,2748411,-0.202871,0.0242162,5.41e-17,-20.2871,-25.0335,-15.5408,***
-15_10,1,≤10 °C,≤10 °C,cold,16,4,(4) agem + state^year + yday + weekday,2761626,-0.111961,0.0160955,3.5e-12,-11.1961,-14.3508,-8.0414,***
-15_10,1,≤10 °C,≤10 °C,cold,16,5,(5) agem^year^month + weekday,2643528,-0.151099,0.014912,3.9499999999999995e-24,-15.1099,-18.0327,-12.1872,***
-15_10,1,≤10 °C,≤10 °C,cold,16,6,(6) agem^weekday + agem^year^month,2642643,-0.150788,0.0150122,9.73e-24,-15.0788,-18.0212,-12.1364,***
-15_10,1,≤10 °C,≤10 °C,cold,16,7,(7) agem^year^month + date,2643528,-0.0148081,0.0173776,0.394,-1.48081,-4.88682,1.9252,
-15_10,1,≤10 °C,≤10 °C,cold,17,1,(1) agem + date,2761626,-0.0469791,0.022529,0.037,-4.69791,-9.1136,-0.282216,**
-15_10,1,≤10 °C,≤10 °C,cold,17,2,(2) agem^yday + agem^year + date,2738859,-0.0407824,0.0269959,0.131,-4.07824,-9.36943,1.21294,
-15_10,1,≤10 °C,≤10 °C,cold,17,3,(3) agem^week + state^year + weekday,2748411,-0.199682,0.0251387,1.97e-15,-19.9682,-24.8954,-15.041,***
-15_10,1,≤10 °C,≤10 °C,cold,17,4,(4) agem + state^year + yday + weekday,2761626,-0.106402,0.0162892,6.49e-11,-10.6402,-13.8329,-7.44751,***
-15_10,1,≤10 °C,≤10 °C,cold,17,5,(5) agem^year^month + weekday,2643528,-0.148836,0.0156849,2.33e-21,-14.8836,-17.9578,-11.8093,***
-15_10,1,≤10 °C,≤10 °C,cold,17,6,(6) agem^weekday + agem^year^month,2642643,-0.149438,0.0158185,3.4900000000000005e-21,-14.9438,-18.0442,-11.8434,***
-15_10,1,≤10 °C,≤10 °C,cold,17,7,(7) agem^year^month + date,2643528,-0.00930103,0.0184273,0.614,-0.930103,-4.54186,2.68165,
-15_10,1,≤10 °C,≤10 °C,cold,18,1,(1) agem + date,2761626,-0.0496087,0.0232894,0.0332,-4.96087,-9.52559,-0.39615,**
-15_10,1,≤10 °C,≤10 °C,cold,18,2,(2) agem^yday + agem^year + date,2738859,-0.0425065,0.0275721,0.123,-4.25065,-9.65478,1.15347,
-15_10,1,≤10 °C,≤10 °C,cold,18,3,(3) agem^week + state^year + weekday,2748411,-0.205178,0.0261575,4.37e-15,-20.5178,-25.6446,-15.3909,***
-15_10,1,≤10 °C,≤10 °C,cold,18,4,(4) agem + state^year + yday + weekday,2761626,-0.109469,0.017187,1.9e-10,-10.9469,-14.3156,-7.57827,***
-15_10,1,≤10 °C,≤10 °C,cold,18,5,(5) agem^year^month + weekday,2643528,-0.15459,0.0171776,2.27e-19,-15.459,-18.8259,-12.0922,***
-15_10,1,≤10 °C,≤10 °C,cold,18,6,(6) agem^weekday + agem^year^month,2642643,-0.155076,0.0172002,1.95e-19,-15.5076,-18.8788,-12.1363,***
-15_10,1,≤10 °C,≤10 °C,cold,18,7,(7) agem^year^month + date,2643528,-0.0106524,0.0195521,0.586,-1.06524,-4.89745,2.76696,
-15_10,1,≤10 °C,≤10 °C,cold,19,1,(1) agem + date,2761626,-0.038442,0.0231584,0.0969,-3.8442,-8.38325,0.694841,*
-15_10,1,≤10 °C,≤10 °C,cold,19,2,(2) agem^yday + agem^year + date,2738859,-0.03299,0.0279316,0.238,-3.299,-8.7736,2.17559,
-15_10,1,≤10 °C,≤10 °C,cold,19,3,(3) agem^week + state^year + weekday,2748411,-0.198527,0.0261078,2.87e-14,-19.8527,-24.9698,-14.7355,***
-15_10,1,≤10 °C,≤10 °C,cold,19,4,(4) agem + state^year + yday + weekday,2761626,-0.0962987,0.0166317,7.04e-9,-9.62987,-12.8897,-6.37005,***
-15_10,1,≤10 °C,≤10 °C,cold,19,5,(5) agem^year^month + weekday,2643528,-0.1483,0.0164875,2.37e-19,-14.83,-18.0616,-11.5985,***
-15_10,1,≤10 °C,≤10 °C,cold,19,6,(6) agem^weekday + agem^year^month,2642643,-0.148512,0.0165707,3.18e-19,-14.8512,-18.099,-11.6033,***
-15_10,1,≤10 °C,≤10 °C,cold,19,7,(7) agem^year^month + date,2643528,0.00138401,0.0203887,0.946,0.138401,-3.85778,4.13458,
-15_10,1,≤10 °C,≤10 °C,cold,20,1,(1) agem + date,2761626,-0.0343969,0.0245715,0.162,-3.43969,-8.25571,1.37633,
-15_10,1,≤10 °C,≤10 °C,cold,20,2,(2) agem^yday + agem^year + date,2738859,-0.0273684,0.0288534,0.343,-2.73684,-8.39211,2.91843,
-15_10,1,≤10 °C,≤10 °C,cold,20,3,(3) agem^week + state^year + weekday,2748411,-0.195826,0.0278949,2.22e-12,-19.5826,-25.05,-14.1153,***
-15_10,1,≤10 °C,≤10 °C,cold,20,4,(4) agem + state^year + yday + weekday,2761626,-0.0862759,0.0173588,6.69e-7,-8.62759,-12.0299,-5.22525,***
-15_10,1,≤10 °C,≤10 °C,cold,20,5,(5) agem^year^month + weekday,2643528,-0.145446,0.0163827,6.8e-19,-14.5446,-17.7556,-11.3336,***
-15_10,1,≤10 °C,≤10 °C,cold,20,6,(6) agem^weekday + agem^year^month,2642643,-0.145843,0.0164184,6.52e-19,-14.5843,-17.8023,-11.3662,***
-15_10,1,≤10 °C,≤10 °C,cold,20,7,(7) agem^year^month + date,2643528,0.00793391,0.0212185,0.708,0.793391,-3.36543,4.95221,
-15_10,1,≤10 °C,≤10 °C,cold,21,1,(1) agem + date,2761626,-0.0359542,0.0254061,0.157,-3.59542,-8.57502,1.38417,
-15_10,1,≤10 °C,≤10 °C,cold,21,2,(2) agem^yday + agem^year + date,2738859,-0.0274806,0.030874,0.373,-2.74806,-8.79937,3.30325,
-15_10,1,≤10 °C,≤10 °C,cold,21,3,(3) agem^week + state^year + weekday,2748411,-0.203177,0.0297096,7.99e-12,-20.3177,-26.1408,-14.4946,***
-15_10,1,≤10 °C,≤10 °C,cold,21,4,(4) agem + state^year + yday + weekday,2761626,-0.0865974,0.018005,1.51e-6,-8.65974,-12.1887,-5.13076,***
-15_10,1,≤10 °C,≤10 °C,cold,21,5,(5) agem^year^month + weekday,2643528,-0.151471,0.0160266,3.3500000000000002e-21,-15.1471,-18.2883,-12.0059,***
-15_10,1,≤10 °C,≤10 °C,cold,21,6,(6) agem^weekday + agem^year^month,2642643,-0.152005,0.0159963,2.0500000000000003e-21,-15.2005,-18.3358,-12.0653,***
-15_10,1,≤10 °C,≤10 °C,cold,21,7,(7) agem^year^month + date,2643528,0.00856151,0.0214253,0.689,0.856151,-3.34322,5.05552,
-15_10,1,≤10 °C,≤10 °C,cold,22,1,(1) agem + date,2761626,-0.0296716,0.0264247,0.261,-2.96716,-8.14639,2.21207,
-15_10,1,≤10 °C,≤10 °C,cold,22,2,(2) agem^yday + agem^year + date,2738859,-0.0189315,0.0320355,0.555,-1.89315,-8.17211,4.38582,
-15_10,1,≤10 °C,≤10 °C,cold,22,3,(3) agem^week + state^year + weekday,2748411,-0.20083,0.0308912,7.97e-11,-20.083,-26.1376,-14.0283,***
-15_10,1,≤10 °C,≤10 °C,cold,22,4,(4) agem + state^year + yday + weekday,2761626,-0.0792645,0.0188716,2.67e-5,-7.92645,-11.6253,-4.22762,***
