bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,estimate,se,p,pct,ci_low,ci_high,stars
10_15,2,10–15 °C,10–15 °C,cold,13,circ,Circulatory,Circulatorias,12187862,0.257997,0.00957561,6.869999999999997e-160,25.7997,23.9229,27.6765,***
10_15,2,10–15 °C,10–15 °C,cold,13,non_circ,Non-circulatory,No circulatorias,15588381,0.15866,0.00734371,1.6099999999999996e-103,15.866,14.4267,17.3054,***
10_15,2,10–15 °C,10–15 °C,cold,13,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0853486,0.0253278,7.52e-4,8.53486,3.57062,13.4991,***
10_15,2,10–15 °C,10–15 °C,cold,14,circ,Circulatory,Circulatorias,12187862,0.277432,0.00981574,9.579999999999997e-176,27.7432,25.8193,29.6671,***
10_15,2,10–15 °C,10–15 °C,cold,14,non_circ,Non-circulatory,No circulatorias,15588381,0.169685,0.00760224,2.3399999999999996e-110,16.9685,15.4785,18.4586,***
10_15,2,10–15 °C,10–15 °C,cold,14,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.107718,0.0284144,1.5e-4,10.7718,5.20257,16.341,***
10_15,2,10–15 °C,10–15 °C,cold,15,circ,Circulatory,Circulatorias,12187862,0.287212,0.010789,3.8899999999999987e-156,28.7212,26.6065,30.8358,***
10_15,2,10–15 °C,10–15 °C,cold,15,non_circ,Non-circulatory,No circulatorias,15588381,0.171658,0.0083073,7.379999999999998e-95,17.1658,15.5376,18.794,***
10_15,2,10–15 °C,10–15 °C,cold,15,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.122377,0.0290685,2.55e-5,12.2377,6.54027,17.9351,***
10_15,2,10–15 °C,10–15 °C,cold,16,circ,Circulatory,Circulatorias,12187862,0.297595,0.0106883,1.3099999999999995e-170,29.7595,27.6645,31.8544,***
10_15,2,10–15 °C,10–15 °C,cold,16,non_circ,Non-circulatory,No circulatorias,15588381,0.177311,0.00824635,1.4999999999999998e-102,17.7311,16.1149,19.3474,***
10_15,2,10–15 °C,10–15 °C,cold,16,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.153002,0.030918,7.47e-7,15.3002,9.24028,21.3601,***
10_15,2,10–15 °C,10–15 °C,cold,17,circ,Circulatory,Circulatorias,12187862,0.312139,0.0114623,2.729999999999999e-163,31.2139,28.9673,33.4605,***
10_15,2,10–15 °C,10–15 °C,cold,17,non_circ,Non-circulatory,No circulatorias,15588381,0.18242,0.00875053,1.6299999999999996e-96,18.242,16.5269,19.9571,***
10_15,2,10–15 °C,10–15 °C,cold,17,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.18168,0.0327574,2.92e-8,18.168,11.7475,24.5884,***
10_15,2,10–15 °C,10–15 °C,cold,18,circ,Circulatory,Circulatorias,12187862,0.323414,0.0114018,5.449999999999998e-177,32.3414,30.1067,34.5762,***
10_15,2,10–15 °C,10–15 °C,cold,18,non_circ,Non-circulatory,No circulatorias,15588381,0.191277,0.00917885,1.9199999999999996e-96,19.1277,17.3287,20.9268,***
10_15,2,10–15 °C,10–15 °C,cold,18,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.20155,0.0332525,1.35e-9,20.155,13.6375,26.6725,***
10_15,2,10–15 °C,10–15 °C,cold,19,circ,Circulatory,Circulatorias,12187862,0.327188,0.0119493,4.589999999999999e-165,32.7188,30.3767,35.0609,***
10_15,2,10–15 °C,10–15 °C,cold,19,non_circ,Non-circulatory,No circulatorias,15588381,0.193682,0.00926129,4.0799999999999997e-97,19.3682,17.5529,21.1834,***
10_15,2,10–15 °C,10–15 °C,cold,19,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.225099,0.0360121,4.09e-10,22.5099,15.4515,29.5683,***
10_15,2,10–15 °C,10–15 °C,cold,20,circ,Circulatory,Circulatorias,12187862,0.33405,0.0124636,3.069999999999999e-158,33.405,30.9621,35.8478,***
10_15,2,10–15 °C,10–15 °C,cold,20,non_circ,Non-circulatory,No circulatorias,15588381,0.201767,0.00935802,4.189999999999999e-103,20.1767,18.3425,22.0108,***
10_15,2,10–15 °C,10–15 °C,cold,20,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.243584,0.0375803,9.07e-11,24.3584,16.9926,31.7241,***
