bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,n_mun,mrate,estimate,se,p,pct,ci_low,ci_high,stars
10_15,2,10–15 °C,10–15 °C,cold,21,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.105517,0.00931137,9.1e-30,-10.5517,-12.3768,-8.72671,***
10_15,2,10–15 °C,10–15 °C,cold,21,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0708937,0.0131823,7.53e-8,-7.08937,-9.67309,-4.50565,***
10_15,2,10–15 °C,10–15 °C,cold,22,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.104926,0.0094049,6.65e-29,-10.4926,-12.336,-8.64929,***
10_15,2,10–15 °C,10–15 °C,cold,22,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0776487,0.013807,1.87e-8,-7.76487,-10.471,-5.05869,***
10_15,2,10–15 °C,10–15 °C,cold,23,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.108159,0.00994503,1.5100000000000001e-27,-10.8159,-12.7651,-8.86666,***
10_15,2,10–15 °C,10–15 °C,cold,23,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0772287,0.0139002,2.76e-8,-7.72287,-10.4473,-4.99844,***
10_15,2,10–15 °C,10–15 °C,cold,24,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.109852,0.00993492,2.02e-28,-10.9852,-12.9325,-9.03797,***
10_15,2,10–15 °C,10–15 °C,cold,24,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0812966,0.014143,9.02e-9,-8.12966,-10.9017,-5.35762,***
10_15,2,10–15 °C,10–15 °C,cold,25,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.113759,0.0102303,1.01e-28,-11.3759,-13.381,-9.3707,***
10_15,2,10–15 °C,10–15 °C,cold,25,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0827649,0.0147264,1.91e-8,-8.27649,-11.1629,-5.39011,***
10_15,2,10–15 °C,10–15 °C,cold,26,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.117707,0.0106621,2.46e-28,-11.7707,-13.8605,-9.68092,***
10_15,2,10–15 °C,10–15 °C,cold,26,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.091651,0.0152136,1.7e-9,-9.1651,-12.147,-6.18323,***
10_15,2,10–15 °C,10–15 °C,cold,27,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.119926,0.0108509,2.14e-28,-11.9926,-14.1194,-9.86587,***
